split,inflation,group,cases,covered,total,coverage,coverage_ci95_low,coverage_ci95_high,mean_width_usd
confirmation,5.0,stage1_lower,183,29115,30202,0.964009006026091,0.9448535457374584,0.977911435394337,453.1729361354543
confirmation,6.0,stage1_lower,183,29153,30202,0.965267200847626,0.9471420591477026,0.9787490504247467,476.2757780209807
confirmation,8.0,stage1_lower,183,29209,30202,0.9671213826898881,0.9501461696023866,0.9799532039517067,508.8729971263617
confirmation,deterministic,stage1_lower,183,29689,30202,0.9830143699092775,0.9711229111623634,0.9906113739031894,681.6054362911652
confirmation,1.0,stage1_upper,175,24882,29202,0.8520649270597904,0.8116988313189397,0.8848402287157141,271.99381015238083
confirmation,1.15,stage1_upper,175,25631,29202,0.8777138552153962,0.8375490272610754,0.9095869570766367,312.78186503691336
confirmation,1.3,stage1_upper,175,26151,29202,0.895520854735977,0.857636956384592,0.9247414972928416,353.5212406516991
confirmation,1.5,stage1_upper,175,26530,29202,0.9084994178480926,0.8716214957818509,0.936260362159543,407.0156816947205
confirmation,1.75,stage1_upper,175,26807,29202,0.9179850695157866,0.8839179497109918,0.944047889965624,470.1277554381503
confirmation,10.0,stage1_upper,175,27743,29202,0.950037668652832,0.9308531158440306,0.9653057943556843,895.4458435037918
confirmation,12.0,stage1_upper,175,27783,29202,0.9514074378467229,0.9319853745634195,0.9662577106706842,906.5101346862912
confirmation,16.0,stage1_upper,175,27840,29202,0.9533593589480173,0.9348940613754717,0.967863898728137,919.6871103454251
confirmation,2.0,stage1_upper,175,26968,29202,0.9234983905211972,0.8915807334380268,0.9484578414834135,526.2037946962993
confirmation,2.5,stage1_upper,175,27151,29202,0.9297650845832477,0.9009095231244472,0.9522984225451326,615.8114325823211
confirmation,24.0,stage1_upper,175,27887,29202,0.954968837750839,0.9366565832841932,0.968854815166887,932.6700217827964
confirmation,3.0,stage1_upper,175,27285,29202,0.934353811382782,0.9077360000547866,0.9549658588606763,681.4392891445437
confirmation,4.0,stage1_upper,175,27458,29202,0.9402780631463599,0.9164020382739696,0.9588195641018727,766.904883310529
confirmation,5.0,stage1_upper,175,27554,29202,0.9435655092116978,0.9210641568911805,0.9614359224015999,815.8977465160866
confirmation,6.0,stage1_upper,175,27609,29202,0.9454489418532978,0.9232387946929151,0.9626432522456945,845.4328603897976
confirmation,8.0,stage1_upper,175,27694,29202,0.9483597013903158,0.9283538047504446,0.9644361375661265,878.0967448613924
